"","EQID","ISC.Catalog.ID","Earthquake.Name","YEAR","MODY","HRMN","Magnitude","Magnitude.Type","Preferred.Moment.Magnitude","Hypocenter.Latitude","Hypocenter.Longitude","Hypocenter.Depth..km."
"2475",2470,705627,"19761107R",1976,1107,400,5.99,"M",5.99,33.816,59.181,6.5
"2487",2477,701441,"19770321R",1977,321,2118,6.73,"M",6.73,27.581,56.359,12
"2532",2514,676813,"Tabas-Iran",1978,916,1535,7.35,"M",7.35,33.215,57.323,5.75
"2554",2530,676919,"19780918RR",1978,918,1735,4.75,"Ms",5.25,33.7331,56.9737,16.6
"2564",2538,671093,"19790116R",1979,116,950,6.52,"M",6.52,33.907,59.471,9.9
"2583",2545,655622,"19791114R",1979,1114,221,6.57,"M",6.57,33.951,59.726,9.1
"2600",2548,656234,"19791127R",1979,1127,1710,7.08,"M",7.08,34.052,59.755,7.4
"2626",2557,634221,"19801219R",1980,1219,116,6.19,"M",6.19,34.468,50.645,12.7
"2631",2558,634375,"19801222R",1980,1222,1251,5.74,"M",5.74,34.421,50.638,16.4
"2651",2576,624412,"19810728R",1981,728,1722,7.27,"M",7.27,29.966,57.767,13.6
"2668",2587,570404,"19830817R",1983,817,2157,4.3,"Ms",4.97,31.791,50.812,15
"2738",2633,387419,"19891120R",1989,1120,419,5.91,"M",5.91,29.901,57.718,14.9
"2744",2635,366754,"Manjil-Iran",1990,620,2100,7.37,"M",7.37,36.8358,49.3918,16
"2780",2652,348855,"19901227R",1990,1227,1326,4,"Ms",4.79,36.937,49.249,12.6
"2785",2653,348922,"19901228R",1990,1228,403,4.47,"Ms",5.08,36.972,49.208,15
"2789",2654,334442,"19910405R",1991,405,538,4.92,"mb",5.11,29.091,51.399,15
"2831",2689,181973,"19940317R",1994,317,806,4.7,"mb",4.86,29.043,52.625,15
"2849",2700,169872,"19940618R",1994,618,1242,4.47,"Ms",5.08,29.099,52.704,11.8
"2855",2703,170110,"19940620R",1994,620,909,5.9,"M",5.9,28.968,52.614,8.6
"2866",2705,170187,"19940621R",1994,621,415,4.68,"mb",4.84,28.996,52.65,10
"2889",2724,166728,"19940731R",1994,731,515,5.56,"M",5.56,32.678,48.421,16.8
"2903",2733,156817,"19940920R",1994,920,549,4.3,"mb",4.4,32.5805,48.5066,10
"2908",2736,133590,"19941208R",1994,1208,1254,4.8,"Ms",5.29,29.084,52.521,15.9
"2911",2737,134968,"19941215R",1994,1215,2324,4.66,"mb",4.81,28.999,52.606,15
"2954",2770,111221,"19950426R",1995,426,1146,4.3,"Ms",4.97,36.925,49.406,15
"3011",2813,943780,"19960124RA",1996,124,605,4.9,"Ms",5.35,29.594,51.098,25
