"Station.Name","Station.Latitude","Station.Longitude","Recommended.Vs30..m.s."
"Khaf*",34.571,60.136,371
"Khezri",34.021,58.811,371
"Qaen",33.73,59.22,347
"Sedeh",33.328,59.236,347
"Bandar-e-Abbas1",27.18,56.28,315
"Bandar-e-Abbas2",27.181,56.284,315
"MinabX",27.15,57.07,296
"Bajestan",34.521,58.182,371
"Boshrooyeh",33.863,57.428,318
"DeyhookX",33.29,57.5,371
"Ferdows",34.01,58.16,371
"Tabas*",33.58,56.92,766.77
"Gonabad",34.35,58.68,371
"Kakhk",34.14,58.66,603
"Kashmar",35.23,58.45,318
"RoshtkharX",34.97,59.62,371
"TorbateHeiydaryeh2",35.27,59.22,371
"Taybad*",34.736,60.789,367
"Torbate JamX",35.244,60.613,371
"Birjand",32.87,59.21,371
"Arak",34.08,49.68,584
"Delijan",33.98,50.68,347
"Kashan",33.98,51.44,318
"Khomeyn",33.63,50.07,298
"Koosk-e-Nosrat",35.16,50.88,564
"BamX",29.1,58.35,371
"Golbaf*",29.88,57.72,268
"Kerman",30.28,57.07,220
"Ravar",31.26,56.8,246
"Zarand",30.79,56.57,246
"ArdalX",31.98,50.66,439
"Naqan",31.929,50.724,431
"Shalamzar*",32.05,50.82,399
"Shahdad",30.41,57.71,347
"Sirch*",30.19,57.56,513
"Ab-bar*",36.925,48.954,378
"Abhar",36.09,49.22,452
"Gachsar",36.112,51.32,539
"LahijanX",37.21,50.03,296
"Qazvin1",36.26,50,321.568033237136
"RobatKarim",35.47,51.08,331
"RoodsarX",37.13,50.3,268
"Tafresh",34.68,50,378
"Tehran42",35.71,51.39,347
"Tehran53",35.52,51.35,347
"Tonekabon*",36.808,50.884,266
"Zanjan",36.66,48.5,371
"Roodbar2",36.8,49.4,379
"SefidroodDam1",36.75,49.39,560
"Manjil",36.763,49.392,379
"Borazjan",29.25,51.2,325
"KazeroonX",29.62,51.67,325
"KonarTakhteh",29.53,51.39,330
"Kavar",29.202,52.692,347
"Zanjiran",29.07,52.62,434
"Zarrat",29.094,52.847,455
"FiroozAbad",28.842,52.572,347
"meymand",28.87,52.75,423
"BabAnar",28.979,53.218,423
"Farrashband",28.87,52.07,368
"Maharloo",29.522,52.817,423
"QirX",28.44,53.03,370
"Sarvestan",29.274,53.217,347
"DezDam",32.605,48.465,471
"Hosseiniyeh Olya",32.679,48.246,370
"KarkhehDam1",32.27,48.16,298
"Karoon3Dam",31.803,50.081,435
"Andimeshk",32.474,48.35,298
"Jovakan",29.037,52.571,368
"AstanehAshrafyeh",37.264,49.937,250
"Roodbar",36.806,49.414,379
"SefidroodDam1",36.758,49.387,560
"RaeisalidelvarDam",29.48,51.14,325
"SaedAbad",29.38,51.116,313
"Shabankareh",29.471,50.988,298
"TangabDam",28.87,52.62,455
"Ghahvareh",34.33,46.42,429
"Mahidasht",34.27,46.82,285
"Aslan-Dooz",39.445,47.402,393
"Hoorand",38.858,47.369,470
"Pataveh",30.95,51.26,345
"Talgerd",30.751,50.74,368
"DoAb",36.02,53.046,558
"Pol Sefid",36.119,53.053,404
"Khan zeynioun",29.671,52.147,355
"Lamerd",27.331,53.177,347
"Parsian",27.209,53.036,351
"Margoun",30.99,51.08,558
"Sisakht",30.852,51.458,379
"Yasooj",30.651,51.601,378
"Ashkhaneh",37.559,56.919,371
"BarezooDam1",37.608,57.954,507
"Bojnoord",37.48,57.33,330
"GifanX",37.894,57.485,560
"Raz",37.938,57.103,558
"Robat",37.9,57.69,391
"EmamGholi",37.403,58.519,507
"Farooj",37.23,58.22,318
"Gonbad-e-Kavoos",37.242,55.164,266
"Kalaleh",37.382,55.496,347
"MaravehTappeh",37.904,55.955,507
"Rezvan",37.184,55.793,431
"Maymand",28.868,52.749,423
"AghGhala",37.014,54.459,281
"Gorgan",36.839,54.385,452
"KowsarDam",36.811,54.546,371
"Ardebil1",38.226,48.276,318
"Ardebil2",38.222,48.258,371
"Astara",38.422,48.869,352
"Bile-Savar",39.364,48.319,402
"Germi",39.05,48.057,434
"Givi2",37.683,48.343,445
"Haris",38.247,47.119,345
"Kaleibar",38.863,47.043,558
"Kariq",37.918,48.062,471
"Khajeh",38.154,46.589,396
"Khalkhal",37.608,48.537,429
"Masal",37.37,49.127,423
"MeshkinShahr",38.394,47.667,573
"Miyaneh",37.431,47.705,396
"Namin",38.423,48.477,463
"Niyaraq",38.265,48.627,564
"Razi",38.63,48.094,488
"Sarab",37.935,47.541,318
"TazehKandi",39.03,47.73,538
"Nir",38.036,48.017,393
"Sarein",38.15,48.074,501
"Baghestan",34.091,58.281,452
"Bardeskan",35.271,57.966,371
"Birjand2",32.876,59.208,371
"BoskAbad",34.028,58.722,492
"FathAbad",34.116,58.388,452
"FeyzAbad",35.013,58.781,318
"Gonabad",34.365,58.679,371
"Khezri",34.022,58.811,371
